,frase,sentimento
13,"Copio aqui o email da Beatriz  dando continuidade ao incidente, pois não foi identificado o problema e nem mesmo resolvido:  Re: Enc: Problema ocorrido durante o último curso SINPRO  Ana Beatriz Castellar Ferro de Carvalho - PrestServ  RH/UP/CRJ  02/06/2015 17:35  Para: Flavio Agostinho Silva  Cc:  Anna Amelia Paula Gomes de Oliveira Ambrosio, Jose  Rozendo da Silva Neto, Ovidio Antonio Bastos Goulart, Alex  Moreira da Silva - PrestServ, Lucia Helena Massena de  Esta mensagem está assinada digitalmente.  Prezados,  Em contato com o Alex Moreira (supervisor da equipe de TIC local) ficou esclarecido que a rede do  EDICIN realmente têm apresentado problemas técnicos, com isso ficando mais lenta.  Uma das soluções apresentadas pela equipe da TIC, seria fazer instalações locais para acessar o  CITRIX fora da rede, esse procedimento poderia ser feito em horário alternativo, após o término do  primeiro dia do curso, caso fosse solicitado ao apoio do evento (Beatriz - A2D7).  A fim de alinharmos uma parceria para que não haja esse tipo de problema nos próximos cursos,  venho convidar a equipe do SINPRO para no próximo dia 05/06/15 realizar uns testes juntamente  com a equipe da TIC do EDICIN, que será representada por um técnico designado pelo supervisor  Alex (X955) que nos lê em cópia.  Aguardo retorno,  Beatriz Castellar  Rota: 801-3597  Tel: (21) 3487-3597  Flavio Agostinho Silva Ana, Bom dia! Gentileza encaminhar este e... 02/06/2015 11:50:43  De: Flavio Agostinho Silva/BRA/Petrobras  Para: Ana Beatriz Castellar Ferro de Carvalho - PrestServ/BRA/Petrobras@PETROBRAS,  Data: 02/06/2015 11:50  Assunto: Enc: Problema ocorrido durante p último curso SINPRO  Ana,  Bom dia! Gentileza encaminhar este email para os responsáveis TIC na UP que dão suporte ao  supracitado curso para a tomada de providências junto à demandante.  Favor me copiar em todos os emails para que eu possa acompanhar o processo até resolvermos o  problema.  Grato,  Flávio Agostinho Silva  Engenheiro de Processamento Pleno  Universidade Petrobras - RH/UP/ECTEP/PCPROD  Av. Tancredo Neves, 1367 - Edifício Civil Trade - 9° andar (Sala 912)  CEP: 41820-021 - Salvador, BA - BRASIL  Rota/Ramal: 822-5337 - Externo: (71) 3797-5337  e-mail: flavio.agostinho@petrobras.com.br  ----- Repassado por Flavio Agostinho Silva/BRA/Petrobras em 02/06/2015 11:47 -----  De: Anna Amelia Paula Gomes de Oliveira Ambrosio/BRA/Petrobras  Para: Flavio Agostinho Silva/BRA/Petrobras@Petrobras,  Cc: Jose Rozendo da Silva Neto/BRA/Petrobras@Petrobras, Ovidio Antonio Bastos  Goulart/BRA/Petrobras@Petrobras  Data: 01/06/2015 13:37  Assunto: Problema ocorrido durante p último curso SINPRO  Flávio,  Tivemos em alguns dias do curso um problema em relação ao acesso dos PC's da Universidade  Petrobras para o CITRIX, o que impactava o acesso aos programas do SINPRO.  Como não conseguimos diagnosticar o que estava acontecendo, pois apenas na UP isso acontecia,  eu não fiz alarde em relação a isso.  Paralelamente fizemos testes aqui no CENPES e tb na UO-RIO e a lentidão de resposta não  acontecia.  A outra alternativa que tínhamos era fazer um setup de instalação local, mas isso geraria impacto tão  grande no andamento do curso, uma vez que teríamos que parar até que todos os programas  estivessem instalados nas máquinas dos participantes, que eu decidi tocar o curso conforme o  CITRIX permitia (passando para parte de discussão quando o sistema caía e voltando aos exercícios  quando a rede se estabelecia ) e guardar esse problema para resolver ao fim do curso, o que faço  agora.  Gostaria de ter seu apoio para encontrarmos as pessoas responsáveis pela Infra TIC na UP, para que  possamos fazer testes e se for o caso pedir o upgrade do Client CITRIX dos PC's destinados ao  curso.  Copio o José Rozendo da UP/RIO e o Ovídio, que é TIC e trabalha na equipe SINPRO neste email.  Aguardo seu retorno,  Anna Amélia Paula Gomes de Oliveira Ambrósio, M. Sc.  Engª de Processamento Pl.  CENPES/EB-E&P/EPEP  CENPES EXPANSÃO - Jardim Escritório 3 - 3º andar  Tel:(21) 3865-5070 ¿ Rota 712  anna.amelia@petrobras.com.br (upu3)",negativo
14,Total 110%,positivo
15,"A nota 5 que dei foi para o técnico que fez o atendimento. Ela foi perfeita, atenciosa e resolveu o problema, mas o serviço havia sido solicitado no dia anterior, cheguei a ligar para o 881 mais duas vezes pois estava com o micro parado e não havia outro disponível para uso. Normalmente o atendimento é rápido, não entendi o que aconteceu.",positivo
16,Demora no retorno da resposta.,negativo
17,excelente atendimento,positivo
18,O colaborador Ademir superou o atendimento das expectativas do cliente. O mesmo  foi eficiente e eficaz no atendimento a demanda do cliente.,positivo
19,Atendimento rápido e eficiente,positivo
20,"Fineza concluir chamado, pois o técnico utilizou a tomada da impressora para instalar o micro o que está impedindo as atividades do setor.",negativo
21,"O atendimento foi muito excelente, porém o atendendente não tinha permissão para tal resolução. parabenizo a efici~encia no atendimento.",neutro
22,"A primeira orientação do técnico foi que eu deveria criar uma nova variante, ele citou que o próprio teve que recriar várias variantes que ele utilizava nas suas atividades. Porém eu insisti que a mensagem era standard e que ela recomendava a execução do report RSVARDOC_610 e que eu só aceitaria o encerramento do chamado com as telas de evidenciação que o report foi executado e o erro não tivesse sido corrigido. Com a execução do report o erro foi corrigido.",negativo
23,Serviço lento e burocrático.,negativo
24,"Tive um bom atendimento no chamado, porém a orientação não funcionou.",neutro
25,Foi resolvido depois de efetuar despacho de mais informações. ,neutro
26,Foi resolvido depois de efetuar despacho de mais informações. ,neutro
27,Era para trocar o ramal 706-6524 pelo ramal 704-2797. Não era para inserir mais um ramal.,negativo
28,"Feliciano realizou sua atividade organizadamente e nos atendeu muito bem, ficamos atisfeitos com sua atuação.",positivo
29,Solicitação aprovada dia 01/06 e atendida dia 05/06. Achei mto tempo para solução de problema simples.,negativo
30,obrigado pelo elocidade de atendimento.,positivo
31,ESTIVE INSATISFEITO DEVIDO A DEMORA NO ATENDIMENTO,negativo
32,Obrigado,positivo
33,O problema persiste ao gerar o relatório de acompanhamento de projetos,negativo
34,Atendimento cordial e preciso.,positivo
35,A nota baixa se refere a equipe de designação que demou quase 1 semana para encaminhar o chamado para a equipe técnica que solucionou rapidamente o atendimento.,negativo
36,"Gostaria de destacar o empenho do técnico em deixar o computador operando, apesar de todas as dificuldades que estas máquinas da Semp Toshiba têm nos imposto. Eu e meus colegas percebemos neste técnico um grande comprometimente e preocupação com os usuários. Se possível gostaria que fosse registrado um elogio a este técnico pela sua postura diferenciada.",positivo
37,Parabéns a equipe pelo pronto atendimento !,positivo
38,"Atendimento dez de seu José, está de parabéns",positivo
39,AGRADEÇO PELO PRONTO ATENDIMENTO.,positivo
40,Houve necessidade de aprovação prévia do administrador do software.,neutro
41,Ótimo atendimento.,positivo
42,Aguardando a conclusão da devolução.,negativo
43,Serviço de de extrema eficiência prestado por este recurso da TIC. A equipe está de parabéns.,positivo
44,"Prezados,Foi satisfatorio o atendimento, pois não fiquei aguardando muito a troca do produto pois não estava dando rendimento ao trabalho.",neutro
45,PROBLEMA RECORRENTE HÁ PELO MENOS 2 SEMANAS SEM SOLUÇÃO.,neutro
46,"O 881 não atendeu em tempo hábil, tive que procurar o atendimento através do sametime.",neutro
47,Rápido e eficiente!,positivo
48,O CHAMADO NÃO FOI RESOLVIDO... PASSARAM MEU CHAMADO PARA EQUIPE DA HP...MAS DEVERIA SER ATENDIDO PELA EQUIPE DE TELEFONIA. INSATISFEITA.,negativo
49,Foram solicitados os cancelamentos a chave S¨TIC,negativo
50,"Bom atendimento, e melhor resolvido em um só chamado.",positivo
51,Não foi resolvido pelo primeiro atendente e sim pelo último.,negativo
52,Solicitação resolvida rapidamente com eficácia.,positivo
53,"O problema não era no ramal. O problema era no headset. O chamado não foi resolvido pois o aparelho está quebrado. Porém, estou satisfeita, pois foi desconectado do aparelho telefônico. Não tenho o que reclamar do atendimento, nem do serviço prestado.",neutro
54,Erro está em análise para ser resolvido,neutro
55,Recebi a ligação do técnico às 9 da manhã me informando que poderia instalar o aplicativo que solicitei. Perdi 45 minutos de trabalho aguardando o técnico na instalação. Após esse tempo todo o técnico me informou que não poderia efetuar a instalação porque não havia procedimento e não tinha conhecimento do Aplicativo. Pediu desculpas e ficou por isso mesmo. Ou seja. Perdi 45 minutos pra nada. Geralmente o técnico precisa consultar o procedimento antes de iniciar a instalação. Correto? Que equivoco !!! Ainda me pediu para que eu olhasse na internet o aplicativo que desejava instalar. Quem é o suporte para assuntos de informática?  ,negativo
56,"excelente atendimento. Nota 1000, principalmente do Gabriel Brito que literalkmentesalvou o meu computador",positivo
57,Excelente atendimento. ,positivo
58,Foi criado SIC20150108 para a implementação da resolução,neutro
59,O trabalho foi realizado com eficiência pelo técnico.,positivo
60,OTIMO,positivo
61,Agradeço a atenção e empenho da equipe na solução do problema.,positivo
62,Rapidez e agilidade,positivo
63,A solução apresentada não foi suficiente.,negativo
64,"Já foram vários registros tentando resolver o mesmo sintoma na video, esperamos que desta vez tenha sido resolvido.",positivo
65,excelente trabalho do tecnico PABLO,positivo
66,Parabéns serviço prestado! ,positivo
67,Muito objetivo e atencioso o atendente.,positivo
68,A persistência e paciência da atendente foi fundamental para que o objetivo fossa alcançado,positivo
69,Raras pessoas têm a persistência requerida para casos mais difíceis.  É o caso do Bruno,positivo
70,O TIC conseguiu instalar apenas um dos softwares solicitados,neutro
71,Rápido atendimento. Isso é muito bom.,positivo
72,"Apesar de toda demora e ausência de contato para entendimento do problema, visto que o mesmo foi resolvido em outro registro que não este, gostaria de reforçar que o descaso no contato e o minimo de boa vontade em resolver o problema ficaram nitidos no tempo para solução.",negativo
73,"O atendente informou que deveria encaminhar esse pedido para a chave SCM8, no entanto esse colaborador não tem gestão sobre o sistema Ronda da Transpetro, o que denota certo desconhecimento, gentileza orientá-lo que apenas os sistemas integrados com o SISPAT e implantados na estrutura da TIC-SPS, estão sob gestão do colaborador SCM8.",negativo
74,Muito obrigado pelo apoio e ajudas do Charles.,positivo
75,"O atendente responsável pelo primeiro atendimento não demonstrou interesse na solução do problema, informando equivocadamente que deveria ser feito contato com a Contabilidade para reabertura do período contábil.",negativo
76,Fui prontamente atendido.,positivo
77,Muito bom o tempo de solução.,positivo
78,Rapidez e eficiência.,positivo
79,Meu ramal continua não aparecendo no localizador de pessoas.,negativo
80,"COMO SEMPRE,OTIMO ATENDIMENTO",positivo
81,Perdão nao me lembro deste pedido.,negativo
82,Excelente,positivo
83,aguardando providências do compartilhado para solucionar o problema,positivo
84,"Apesar da movimentação de Fernando, como Gerente, não poder ser atendida sem o DIP da OG, o DIP cita ainda 2 gerentes setoriais, cuja responsabilidade de movimentação é da unidade REVAP. Esses dois setoriais continuam sem a atualização devida.",negativo
85,ATENDIMENTO EXCELENTE!,positivo
86,No momento do atendimento a internet estava lenta e não foi possível baixar os drives da impressora.,neutro
87,Analista muito prestativo e atencioso.,positivo
88,Houve preocupação em resolver o problema por parte das pessoas envolvidas. ,neutro
89,EXCELENTE ATENDIMENTO.,positivo
90,Parabéns pelo atendimento!,positivo
91,Parabéns pelo atendimento!,positivo
92,O técnico atendeu com empenho! Parabéns!,positivo
93,Atendimento atencioso e prestativo,positivo
94,Bem atendido,positivo
95,"Situação de acesso a internet intermitente, pois, alguns minutos depois, ficamos sem acesso novamente a internet. Solução insatisfatória dada a instabilidade apresentada !",neutro
96,Bem eficiente,positivo
97,muito obrigado pela ajuda !!!!Sds,positivo
98,O atendende foi muito prestativo e atencioso. Orientou todos os passos para a solução do chamado.,positivo
99,Não houve resposta à minha pergunta e o registro não foi redirecionado à equipe competente.,negativo
100,Atendente muito prestativa e eficiente.,positivo
101,"O atendimento a solicitação foi muito rápido, do momento da ligação a efetiva substituição do cartucho de tinta. Muito bom mesmo.",positivo
102,muito obrigado,positivo
103,"Liguei com acesso ao micro, porém com falha no acesso ao Notes, e minha senha foi totalmente bloqueada. Gerando um transtorno, pois o responsável pela reativação da senha estava ausente.",negativo
104,"O serviço foi executado no dia posterior ao chamado, ficam aqui expresso o agradecimento da equipe da EMTBM",positivo
105,foi resolvido em tempo habil.,positivo
106,"Atendimento objetivo, cordial e eficaz. Parabéns!",positivo
107,Perfeita!!,positivo
108,devo falar com ger para solicitar desbloqueio,neutro
109,O trabalho foi executado com sucesso.,positivo
110,Suporte Tecnico totalmente eficaz,positivo
111,"Há 28 anos que não me sinto tão satisfeita com os serviços de informática como hoje. Parabéns para a colega, cujo nome esqueci. ",positivo
112,extremamente eficiente,positivo
113,Parcialmente resolvido. Ainda estou com home area duplicada.,neutro
114,Ainda em Avaliação,neutro
115,Rápido e eficiente,positivo
116,"Excelente atendimento, rápido e eficiente.",positivo
117,"Atendente Bruno muito atencioso, resolveu a questão com bastante rapidez.",positivo
118,"Apesar de ter sido resolvido, a solução para o problema demorou quase 1 hora. Anas o terceiro atendnte conseguiu resolv^-lo.",positivo
119,"A equipe de suporte Tic na RPBC  está de parabéns ,todo departamento ot/dp agradece o desempenho,carisma e dedicação.",positivo
120,"Os programas, embora instalados no computador, não estavam acessíveis a partir dos menus.  Problema resolvido.",neutro
121,Parabéns ao Atendente pelo bom atendimento!,positivo
122,ÓTIMO SERVIÇO EXECUTADO.,positivo
123, GRATO PELA QUALIDADE NO ATENDIMENTO.,positivo
124,Equipe eficiente e eficaz!,positivo
125,Exelente Atendimento,positivo
126,Muito eficiente.,positivo
127,AGRADECIDO.,positivo
128,Muito bom o atendimento,positivo
129,Excelente atendimento,positivo
130,Atendimento excelente!,positivo
131,Foi resolvida parcial !! Aguardando ainda retorno do final da solicitação .,positivo
132,Atendimento muito bom,positivo
133,favor analisar,neutro
134,Resolvido de forma rápida e eficaz!,positivo
135,Bem atendido,positivo
136,Excelente atendimento,positivo
137,Resolvido de forma rápida e eficaz!,positivo
138,otimo atendimento.,positivo
139,"atendimento rápido, profissional dedicado",positivo
140,ótimo atendimento,positivo
141,A Colaboradora Ana Carolina foi rápida e super eficiênte.,positivo
142,Rápidos e eficientes. ,positivo
143,Ainda não recebi a visita do técnico para fazer os reparos.,neutro
144,Excelente atendimento por parte do sr. Gabriel.,positivo
145,Há muita demora no atendimento. Nos ramais da HP no Ediven - 704-0534 e 704-0992 dificilmente há alguém para atendimento. Aciona-se a ALED - 704-0578 que só faz abrir o registro. A demora de hoje foi excessiva - 3 horas para liberar uma impressora em pausa !!!     ,negativo
146,muito obrigada pelo atendimento e a resolução do problema,positivo
147,Superou minhas expectativas.,positivo
148,DEMOREI BASTANTE NO PC E NÃO FOI RESOLVIDO O PROBLEMA,negativo
149,Troquei a minha solicitação para o Internet Explorer,neutro
150,Resolvido de forma rápida e eficaz!,positivo
151,"Informaram que o item foi retirado do meu DSP em março, mas nunca tice um segundo micro. Solicitei que os valores cobrados incorretamente fossem estornados para nossa gerência, mas nada foi mencionado sobre o assunto na resolução do problema.",negativo
152,A base criada deixou a replicação muito lenta.,negativo
153,Atendente extremamente solícito.,positivo
154,excelente atendimento e serviço prestado. equipe nota 10,positivo
155,Agradeço a todos a colaboração e seu desempenho.,positivo
156,"Fui informado que o MIcro MI00203081, será excluído do DSP no demosntrativo de abril/2015.",neutro
157,Atendimento muito bom e resolutivo.,positivo
158,Presteza e agilidade no atendimento.,positivo
159,EXCELENTE ATENDIMENTO!,positivo
160,Atendimento excelente,positivo
161,Muito bom o atendimento do técnico.,positivo
162,Otimo resultado prestador muito preparado para responder todas as questões,positivo
163,Atendimento solucionou o problema e serviu para basear orientação para pessoal do setor. Grato,positivo
164,Parabéns pela cordialidade no atendimento e nos esclarecimentos acerca da consulta dos registros através do web 881.,positivo
165,Perfeito!,neutro
166,Atendente extremamente solícito e ágil.,positivo
167,A solicitação foi atendida com êxito.,positivo
168,fera a pessoa,positivo
169,Atendimento rápido e eficiente.,positivo
170,Rapidez e Eficiência,positivo
171,"Conforme informado pela TIC, a sistemática da designação de micros para uma determinada chave é automática a partir de um solftware.  Acredito que esta designação automática deva ter uma análise crítica periódica, para avaliação das informações levantadas pelo sistema.  Esta mesma ferramenta utilizada deveria listar os usuários que tenham em seu registro mais de um Microcomputador Corporativo, e verificar se existe uma frequência de utilização pelo usuário, pois no segundo micro (utilizado no Rio Grande do Sul), alvo da minha dúvida quando a duplicidade, não houve nenhum acesso desde nov/14, e mesmo assim foi considerado como de minha utilização, e cobrado como sendo.",neutro
172,Excelente atendimento. Técnico prestativo e competente.,positivo
173,"CADA VEZ QUE UTILIZO O SERVIÇO, FICO MAIS IMPRESSIONADO POSITIVAMENTE, COM A QUALIDADE DO ATENDIMENTO. RAPIDEZ E SIMPATIA DOS PROFISSIONAIS QUE ME ATENDEM. GOSTARIA DE REGISTRAR NOTA 10 AO ATENDIMENTO DO SR LUCAS VIANA.    GRATO!    MICHEL   AQ6S",positivo
174,Agradeço pelo ótimo atendimento. César Augusto.,positivo
175,Agradeço a atenção e competência do Sr. Fernando de Souza Fernandes,positivo
176,"Excelente atendimento, atendente nota 1.000, gentil, com muita presteza e segurança nas informações. Parabéns Luciane ou Luciana...",positivo
177,O atendente foi cortês mas não pôde me ajudar. ,negativo
178,MUITO BOM ATENDIMENTO. MUITO PRESTATIVA.,positivo
179,"O procedimento de adequação das bases do Notes é muito demorado, de forma que solicitei que fosse executado apenas para as de maior prioridade para que eu possa continuar trabalhando hoje. Em outro momento farei novo contato para executar nas demais.",neutro
180,parabéns ao atendente.,positivo
181,"Agradecer a presteza, educação e efetividade na solução, na opção 5 da atendente, Srª Ana. Atendimento nota 10",positivo
182,Parabéns! Excelente performance do atendente. Solucionou o  problema com agilidade e presteza.  ,positivo
183,Excelente!,positivo
184,O atendimento superou as expectativas.,positivo
185,"O profissional responsável pelo atendimento foi extremamente habil na resolução do problema, mostrando grande conhecimentop sobre o Lotus Notes.",positivo
186,O atendimento foi muito bom. O atendente foi eficiente e eficaz. Obrigada!,positivo
187,O ATENDENTE FOI MUITO CORDIAL E DISPOSTO A TIRAR DÚVIDAS! MUITO SATISFEITA!,positivo
188,OTIMO ATENDIMENTO.,positivo
189,"Excelente atendimento, o técnico foi capaz não apenas de resolver o problema relatado como também identificou outra situação adversa no aplicativo, resolvendo outro problema cujo qual não me recordava no momento. Foi eficiente e proativo. Parabéns ao técnico.",positivo
190,O atendente foi muito eficaz. Problema resolvido com agilidade. ,positivo
191,"CONTINUO NÃO ACESSANDO SISTAM , POIS O REF.SISTEMA PEDE ATUALIZAÇÃO JAVA 1.6+",neutro
192,Agradeço pela tempestividade no atendimento. ,positivo
193,atendimento de qualidade.,positivo
194,A informação foi passada com objetividade e clareza.,neutro
195,Excelente!,positivo
196,"CONTINUO NÃO ACESSANDO SISTAM , SISTEMA PEDE ATUALIZAÇÃO DO JAVA 1.6+",neutro
197,"Muito bom trabalho, resolveu com eficácia. Aquele abraço!",positivo
198,prontamente atendido...!!!,positivo
199,"Mas continua um pouco lento,não como estava anteriormente",neutro
200,Atendimento muito rápido! Parabéns!,positivo
201,prontamente atendido...!!!,positivo
202,prontamente atendido...!!!,positivo
203,prontamente atendido...!!!,positivo
204,Paciente e atencioso,positivo
205,"O atendente mostrou diligêngia e eu agradeço por isso, entretanto a aplicação WEB ""Troca Senha"" não permite que troquemos apenas a senha extranet. Tal fragilidade denuncia minha nota...",negativo
206,obrigada pelo apoio,positivo
207,Não só resolveu como já instruiu como agir caso o problema se repita.,neutro
208,muito bom atendimento. muito prestativa.,positivo
209,OTIMO,positivo
210,"Prezados, Boa Tarde! Serviço executado com excelência.",positivo
211,Muito paciente e atencioso,positivo
212,"Quase meia hora de espera ouvindo musiquinha para não receber nenhuma resposta concreta.  Em ligação telefônica posterior, fui informado da necessidade de despacho ao DIP TRANSPETRO/DDT/CL/COM 3/2015 pelo GG da TRANSPETRO/DDT/CL.  Trata-se a rigor da reativação de chave no SAP, onde a burocracia exigida me parece excessiva, em face do tempo em que o acesso se manteve ativo, e a razão da supressão de acesso ao SAP pelo empregado. Depois disso, ainda vem a via crucis do restabelecimento dos perfis de acesso... ",negativo
213,Parabéns pelo atendimento.,positivo
214,"Logo após o atendimento, o erro não repetiu. ",neutro
215,Funcionário proativo,positivo
216,excelente trabalho,positivo
217,-,neutro
218,ÓTIMO SERVIÇO PRESTADO.,positivo
219,Obrigada pela eficiencia!,positivo
220,Obrigada pela agilidade!!,positivo
221,"excelente trabalho, com muita agilidade por parte da emopresa envolvida.",positivo
222,Ótimo atendimento.,positivo
223,O chamado não foi resolvido devido a fatores externos ao Sistema Petrobras,neutro
224,O chamado foi para acessar uma solicitação de viagem já aprovada para saber do andamento,negativo
225,"PARABÉNS PELO ÓTIMO ATENDIMENTO, NOTA 1.000 ... OBRIGADO PELA FORÇA",positivo
226,Insatisfeito com o não funcionamento do SAP R3.,negativo
227,Atendente muito prestativo e atencioso. Excelente atendimento! ,positivo
228,Excelente e rápido o atendimento. Parabéns,positivo
229,ótimo atendimento. Parabéns!,positivo
230,MUITO BOM O ATENDIMENTO,positivo
231,Resolvido imediatamente!,positivo
232,"Não foi resolvido, pois, fui informado pela TIC que a manutenção ou substituição dos estabilizadores né função da minha gerência.",neutro
233,Resolvido com sucesso.,positivo
234,Atendente muito prestativo e educado,positivo
235,O ATENDIMENTO SUPEROU MINHAS EXPECTATIVAS,positivo
236,"Já faz um tempo que o site da caixa apresenta instabilidade, sem que haja solução.",negativo
237,Ótimo atendimento. Funcionário super atencioso.,positivo
238,"Apesar da rapidez na chegada do técnico, foram feitas várias tentativas de correção e ele não sabia a resposta.",negativo
239,"Excelente serviço, ",positivo
240,ótimo serviço,positivo
241,Falta atualizar meu ramal no localizador de pessoas no portal da Petrobrás e alterar o nome do ramal no babylon,neutro
242,"Gostaria de registrar o meu agradecimento ao Luíz chave Y7DJ que se prontificou a atender o meu chamado com proatividade e comprometimento. Aliás, parabéns aos técnicos que nos atendem pois são todos nota 10!",positivo
243,O chamado foi resolvido parcialmente. Foi realizada apenas o aumento de cota do drive W.,negativo
244,Excelente atendimento.,positivo
245,Estou aguardando aproximadamente um mês a conclusão do atendimento. ,negativo
246,A resolução do problema foi muito rápida.,positivo
247,Minha solicitação foi atendida de maneira profissional e muito qualificada. ,positivo
248,Ótimo atendimento. Claro e objetivo!,positivo
249,O ramal 751-6523 não está funcionando no grupo de captura,negativo
250,"O atendimento foi rápido, eficiente e cordial.",positivo
251,"Prezados (as) boa tarde ,   Apesar do problema no lotus notes ter voltado , tudo foi resolvido dentro do prazo .   Estão de parabens .",positivo
252,Excelente atendimento. Parabéns!!!,positivo
253,Excelente atendimento,positivo
254,Excelente,positivo
255,"Parabéns, pelo atendimento eficiente e com competência.",positivo
256,A funcionária está de parabéns pelo atendimento.  Muito educada e eficiente.,positivo
257,"Atendente muito atencioso, eficiente e pró-ativo.",positivo
258,"O atendente foi muito profissional e resolveu o problema sem dificuldades, pessoa muito competente.  Está de Parabéns.",positivo
259,Acho muito burocrático este sistema de ajuda. ,negativo
260,Fui esclarecido sobre a situação.,neutro
261,Atendimento com qualidade e atenção. Muito obrigado,positivo
262,A atendente não soube realizar o cadastramento dos tanques do navio de  código: 1B4X. ,negativo
263,Obrigado pelo atendimento. Minha nota é 10.,positivo
264,Ótimo atendimento e agilidade no processo. O funcionário Maicon fez ótimo trabalho.,positivo
265,Ótima atendente.,positivo
266,Bom atendimento,positivo
267,Foi resolvido dentro das limitaçoes e regras do sistema,neutro
268,Demora no procedimento (Lentidão na rede),negativo
269,Demora no procedimento (Lentidão na rede),negativo
270,Excelente atendimento.,positivo
271,"Espero que não haja custo algum com este serviço, uma vez que não houve antedimento propriamente dito.",negativo
272,"Tive de suspender o atendimento devido as demandas de parada de produção na plataforma P-19, ficando para uma nova tentativa no próximo atendimento.",neutro
273,Atendimento com qualidade e presteza.,positivo
274,"Apesar do Padrão dizer que não será dado apoio a Smartphone pessoal. No caso específico é que consigo acessar através de notebook, e outro usuário consegue acessar através do meu Smartphone, o que sugere problema na minha chave de acesso. ",negativo
275,"O Atendente demonstrou total conhecimento, resolvendo rapidamente a falha.",positivo
276,Ótima atendente,positivo
277,"O atendente foi muito solícito, e o problema foi solucionado em uma velocidade incrível. Parabéns ao 881 nesse atendimento.",positivo
278,Bom atendimento,positivo
279,FUNCIONÁRIO PRESTATIVO E EFICIENTE,positivo
280,Não resolvel meu problema e conduta de reposição inviavel para quem se encontra embarcado,negativo
281,"Muito bem atendido, o problema foi solucionado",positivo
282,"Muito bem atendido, e solucionado o problema",positivo
283,"Equivoquei-me ao contatar 881, quando deveria solicitar o serviço através do disc ",neutro
284,Atendente muito responsavel e segura,positivo
285,Solicitei faz meses o serviço e só recentemente entraram em contato.,negativo
286,Solicitação não resolvida peço reabrir o chamado.,neutro
287,"Equipamento operacional, atendeu bem as espectativas.",positivo
288,Houve um atraso considerável na data de entrega. Este atraso não foi comunicado antecipadamente e por isso causou grande insatisfação do cliente final. ,negativo
289,"Ainda em testes, porém, em princípio, foi solucionado.",neutro
290,O atendente foi extremamente solícito e competente,positivo
291,"A profissional CARLA CRISTINA DURAES foi muito atenciosa e eficiente.  Contudo, o serviço da TIC não atendeu porque o micro voltou a dar defeito 5 minutos depois de devolvido, tendo demorado 3 semanas entre a abertura do chamado e sua conclusão insatisfatória",negativo
292,"Demorou muito. Se eu não ligo, estaria sem um retorno da situação.",negativo
293,"É necessário acessar via PLSQL que o técnico ficou de vir instalar, pois via EXCEL não consigo fazer minhas pesquisas através de query!",negativo
294,"Apesar do problema resolvido, fica dependendo demais de liberações e autorizações, cuja demanda é realizada via telefone fixo, o que também compromete a agilidade, com risco de cancelamento da demanda.",negativo
295,Atendimento dentro do prazo e de acordo com o solicitado. Obrigada ! ,neutro
296,"Atende Raphael foi bastante atenciosa, dando sugestões para melhoria do prcesso. ",positivo
297,houve demora que impactou na gestão dos RTA. De qq forma estamos muito agradecidos pela solução. Obrigada,neutro
298,"A equipe atendeu prontamente o chamado, porém o procedimento não sutiu efeito. Acrescenta-se a isso o fato de ter demorado aproximadamente 7 dias para a equipe do 881 entrar em contato para perguntar qual era o número da linha. Só depois disso que o atendimento proseguiu. Ao solititar a reabertura do chamado não havia mais possibilidade, e outro chamado teve que ser aberto.",negativo
299,O atendimento local sempre é muito bom. Muito obrigada pela ajuda.,positivo
300,"As funcionalidades (ligações) não migraram do ramal antigo para o novo, ainda não consigo realizar chamadas externas.  E o Busca Empregados, está sem nenhum dos ramais, o antigo saiu e o novo ainda não entrou no cadastro.",negativo
301,Ótimo atendimento,positivo
302,"Foi resolvido parcialmente, pois a outra bateria durava 20 min e esta dura 50 min. E fui informado que não tem bateria nova, nem notebook novo.",negativo
303,Equipe atenciosa e rápida. Parabéns.,positivo
